Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Poisson 1,Composite Elastic Modulus (MPa)
0.38,1490,2542.372881,106.557377,0.444529483,298,1770,220000,0.2,5600.323858
0.38,1490,2662.557781,252.04918,0.545587608,233,2540,75000,0.2,5838.200651
0.38,1490,2576.271186,79.918033,0.346129167,333,2540,75000,0.2,5645.087333
0.38,1490,2621.468927,149.590164,0.431151575,273,1470,150000,0.35,5424.920011
0.38,1490,1152.542373,43.032787,0.277230974,393,1470,150000,0.35,2509.8165
0.38,1490,2542.372881,106.557377,0.444529483,298,2530,85000,0.35,5592.003956
0.37,1200,1186.206897,89.655172,0.22999764,233,1770,220000,0.2,2612.464854
0.37,1200,1396.551724,62.068966,0.346699482,333,1770,220000,0.2,3057.314222
0.37,1200,1354.231975,77.586207,0.23256682,273,2540,75000,0.2,2971.161212
0.37,1200,1075.862069,46.551724,0.285243921,393,2540,75000,0.2,2374.258222
0.37,1200,1655.172414,67.241379,0.544620657,298,1470,150000,0.35,3444.789833
0.37,1200,1186.206897,89.655172,0.22999764,233,2530,85000,0.35,2617.84595
0.37,1200,1396.551724,62.068966,0.346699482,333,2530,85000,0.35,3063.832722
0.36,1180,2742.622951,149.590164,0.431151575,273,1770,220000,0.2,5709.761977
0.36,1180,1567.213115,43.032787,0.277230974,393,1770,220000,0.2,3340.437933
0.36,1180,2448.770492,106.557377,0.444529483,298,2540,75000,0.2,5113.912178
0.36,1180,2658.665105,252.04918,0.545587608,233,1470,150000,0.35,5266.623629
0.36,1180,1652.920082,79.918033,0.346129167,333,1470,150000,0.35,3361.957764
0.36,1180,2742.622951,149.590164,0.431151575,273,2530,85000,0.35,5704.49828
0.36,1180,1567.213115,43.032787,0.277230974,393,2530,85000,0.35,3344.721933
