Volume Fraction,Matrix Density (kg/m^3),Matrix Elastic Modulus (MPa),Matrix Yield Strength (MPa),Matrix Hardening Parameter,Temperature (K),Filler Density (kg/m^3),Filler Elastic Modulus 1,Filler Poisson 1,Elastic Modulus
0.38,1490,2662.557781,252.04918,0.545587608,233,1770,220000,0.2,5850.724669
0.38,1490,2621.468927,149.590164,0.431151575,273,1770,220000,0.2,5765.233119
0.38,1490,2576.271186,79.918033,0.346129167,333,1770,220000,0.2,5663.617333
0.38,1490,1152.542373,43.032787,0.277230974,393,1770,220000,0.2,2613.935911
0.38,1490,2621.468927,149.590164,0.431151575,273,2540,75000,0.2,5740.886071
0.38,1490,2542.372881,106.557377,0.444529483,298,2540,75000,0.2,5578.698044
0.38,1490,1152.542373,43.032787,0.277230974,393,2540,75000,0.2,2621.313393
0.38,1490,2662.557781,252.04918,0.545587608,233,1470,150000,0.35,5511.403383
0.38,1490,2542.372881,106.557377,0.444529483,298,1470,150000,0.35,5275.026528
0.38,1490,2576.271186,79.918033,0.346129167,333,1470,150000,0.35,5331.466214
0.38,1490,2662.557781,252.04918,0.545587608,233,2530,85000,0.35,5849.356085
0.38,1490,2621.468927,149.590164,0.431151575,273,2530,85000,0.35,5751.144647
0.38,1490,2576.271186,79.918033,0.346129167,333,2530,85000,0.35,5654.845214
0.38,1490,1152.542373,43.032787,0.277230974,393,2530,85000,0.35,2623.461036
0.37,1200,1354.231975,77.586207,0.23256682,273,1770,220000,0.2,2970.82397
0.37,1200,1655.172414,67.241379,0.544620657,298,1770,220000,0.2,3599.805361
0.37,1200,1075.862069,46.551724,0.285243921,393,1770,220000,0.2,2373.369611
0.37,1200,1186.206897,89.655172,0.22999764,233,2540,75000,0.2,2615.469621
0.37,1200,1655.172414,67.241379,0.544620657,298,2540,75000,0.2,3597.722347
0.37,1200,1396.551724,62.068966,0.346699482,333,2540,75000,0.2,3063.291444
0.37,1200,1186.206897,89.655172,0.22999764,233,1470,150000,0.35,2514.074375
0.37,1200,1354.231975,77.586207,0.23256682,273,1470,150000,0.35,2850.425258
0.37,1200,1396.551724,62.068966,0.346699482,333,1470,150000,0.35,2934.606667
0.37,1200,1075.862069,46.551724,0.285243921,393,1470,150000,0.35,2289.052444
0.37,1200,1354.231975,77.586207,0.23256682,273,2530,85000,0.35,2974.152485
0.37,1200,1655.172414,67.241379,0.544620657,298,2530,85000,0.35,3601.902222
0.37,1200,1075.862069,46.551724,0.285243921,393,2530,85000,0.35,2376.096889
0.36,1180,2658.665105,252.04918,0.545587608,233,1770,220000,0.2,5550.674438
0.36,1180,2448.770492,106.557377,0.444529483,298,1770,220000,0.2,5121.765056
0.36,1180,1652.920082,79.918033,0.346129167,333,1770,220000,0.2,3513.725239
0.36,1180,2658.665105,252.04918,0.545587608,233,2540,75000,0.2,5529.331358
0.36,1180,2742.622951,149.590164,0.431151575,273,2540,75000,0.2,5685.543195
0.36,1180,1652.920082,79.918033,0.346129167,333,2540,75000,0.2,3514.199982
0.36,1180,1567.213115,43.032787,0.277230974,393,2540,75000,0.2,3340.937967
0.36,1180,2742.622951,149.590164,0.431151575,273,1470,150000,0.35,5418.627793
0.36,1180,2448.770492,106.557377,0.444529483,298,1470,150000,0.35,4867.379389
0.36,1180,1567.213115,43.032787,0.277230974,393,1470,150000,0.35,3202.556133
0.36,1180,2658.665105,252.04918,0.545587608,233,2530,85000,0.35,5536.468778
0.36,1180,2448.770492,106.557377,0.444529483,298,2530,85000,0.35,5122.835222
0.36,1180,1652.920082,79.918033,0.346129167,333,2530,85000,0.35,3518.294127
