SR,y_test,y_pred
0.1,66.8678,66.886024
0.1,107.1132,106.49535
0.1,63.7272,63.71382
0.1,71.6155,74.2417
0.3,67.6274,67.61801
0.1,97.8992,98.06769
0.1,367.4733,341.16544
0.1,192.1876,196.38675
0.2,171.6989,171.50731
0.2,107.2364,107.515045
0.2,108.9284,108.4762
0.3,80.0801,80.48507
0.2,168.0626,168.23781
0.2,47.3365,47.453102
0.1,242.8219,241.5732
0.2,69.0175,69.00048
0.1,46.8157,46.788837
0.2,54.0427,54.103302
0.3,111.9,112.147194
0.1,104.0014,105.674835
0.1,87.9517,86.897415
0.3,107.6583,107.14958
0.1,252.6196,252.30972
0.2,73.1832,74.92506
0.2,67.2844,67.055984
0.3,69.4897,69.68825
0.3,107.5989,107.507706
0.3,69.4445,69.64708
0.2,267.2242,267.32468
0.3,45.7178,45.725746
0.3,46.1751,46.268513
0.1,75.977,79.72578
0.2,223.5346,223.74866
0.3,270.7692,287.72736
0.1,192.0721,196.38675
0.1,60.5333,60.630455
0.2,267.8007,285.55908
0.1,218.6039,217.94116
0.3,168.0916,168.41772
0.2,190.8428,189.87271
0.1,106.0947,105.4303
0.1,66.1987,66.11238
0.2,76.4054,75.684425
0.3,67.3783,67.444176
0.2,79.2776,80.18909
0.1,62.4758,62.838383
0.3,69.4288,69.60806
0.1,170.2054,169.7348
0.1,65.4173,65.49458
0.2,107.173,106.91053
0.2,75.3343,73.845245
0.1,86.823,86.41689
0.3,66.8534,66.753494
0.1,217.7929,217.79247
0.2,110.0526,109.82946
0.1,171.9462,165.86813
0.1,74.8027,74.49268
0.1,169.883,166.8927
0.3,176.7124,176.84464
0.1,77.8354,77.81043
0.2,99.0322,98.94661
0.1,262.4064,279.48468
0.2,60.9267,60.71003
0.1,172.5027,166.51015
0.3,61.7215,61.719875
0.2,45.5159,45.54609
0.3,199.2662,199.72491
0.1,66.2472,66.17001
0.2,191.0316,189.67677
0.1,218.2813,217.33623
0.1,54.776,54.472683
0.1,173.577,174.41777
0.2,76.3123,75.9803
0.1,105.1237,106.13023
0.1,167.0711,166.27623
0.3,47.6945,47.839767
0.3,252.7067,252.54657
0.2,75.6122,75.073326
0.1,127.8745,118.135056
0.2,109.8136,110.25042
0.1,79.8703,80.126
0.2,98.9311,98.887924
0.2,75.3639,74.02243
0.1,107.0684,106.48566
0.1,71.6698,72.52476
0.1,198.198,198.56767
0.1,71.2887,72.25976
0.3,176.561,176.65143
0.1,69.0438,69.35129
0.3,69.4164,69.569
0.3,192.9434,192.49411
0.1,125.9525,116.78854
0.1,87.8213,86.96402
0.1,86.9504,85.996796
0.2,76.4634,75.99111
0.3,276.3614,276.04816
0.1,170.2817,169.72438
0.1,52.9736,53.288082
0.2,69.771,69.60451
0.3,67.5122,67.49516
0.2,223.6116,223.74866
0.1,56.0025,55.31091
0.1,55.9352,55.297222
0.3,225.7282,225.85693
0.1,45.6498,45.515285
0.2,197.2077,197.78094
0.2,78.2708,79.12062
0.1,74.9849,74.763596
0.1,98.1593,98.46908
0.1,81.5863,80.31207
0.1,192.8421,196.5381
0.1,161.0968,161.23793
0.2,108.6912,108.27615
0.1,65.3956,65.428246
0.3,74.3314,74.04007
0.1,43.1763,43.370094
0.3,47.7395,47.91276
0.3,70.2533,70.27924
0.1,71.2683,72.225914
0.1,71.6977,72.94387
0.3,107.6821,107.72208
0.3,44.9532,44.85404
0.2,53.9379,54.02605
0.1,105.8864,105.02465
0.3,172.1106,172.03203
0.2,75.2691,75.042145
0.1,172.0292,165.86813
0.2,106.0313,106.247894
