y_test,y_pred,VF
0.0117,0.011807244,0.4
0.01478,0.014672241,0.45
0.02044,0.020006834,0.15
0.00998,0.010017207,0.5
0.02526,0.025503244,0.1
0.01626,0.016216494,0.4
0.01355,0.014582907,0.5
0.0321,0.032040168,0.3
0.04015,0.039842565,0.15
0.01294,0.012840156,0.5
0.01379,0.013826331,0.45
0.01844,0.018454423,0.3
0.05215,0.05178633,0.05
0.01528,0.015430511,0.2
0.02675,0.026803732,0.4
0.02013,0.02002876,0.2
0.01544,0.015607164,0.2
0.01306,0.012997976,0.3
0.01489,0.01468619,0.45
0.01243,0.012495923,0.5
0.01698,0.01702584,0.35
0.01241,0.012591642,0.5
0.01683,0.016551416,0.45
0.00991,0.010017207,0.5
0.02605,0.025758404,0.1
0.01126,0.011680292,0.4
0.0129,0.013017035,0.5
0.01143,0.011892523,0.4
0.0229,0.023121893,0.5
0.01841,0.018544925,0.1
0.01685,0.016729755,0.15
0.00846,0.008947873,0.45
0.0302,0.02963848,0.35
0.0211,0.021752255,0.5
0.03234,0.03214845,0.3
0.02793,0.027724368,0.05
0.02135,0.0217776,0.5
0.0285,0.028429361,0.35
0.05065,0.051026683,0.05
0.0343,0.03407118,0.25
0.01404,0.014021195,0.45
0.02519,0.02490319,0.1
0.01974,0.019424122,0.25
0.02223,0.022259368,0.15
0.01809,0.017921975,0.3
0.02316,0.023606945,0.1
0.01971,0.020387435,0.2
0.04015,0.039842565,0.15
0.02764,0.027255412,0.05
0.01334,0.013136431,0.5
0.01074,0.010841443,0.45
0.01129,0.011276683,0.4
0.02463,0.024434451,0.1
0.02975,0.029530188,0.35
0.01405,0.01416844,0.45
0.03011,0.030207489,0.2
0.02012,0.019831397,0.25
0.00878,0.009106931,0.5
0.03648,0.03611962,0.2
0.01812,0.017921975,0.3
0.01539,0.015452517,0.4
0.0213,0.0217776,0.5
0.01225,0.012166638,0.35
0.02826,0.028781734,0.2
0.01184,0.01235794,0.35
0.01891,0.018782686,0.1
0.03227,0.032123107,0.3
0.02492,0.024725035,0.1
0.03386,0.033811774,0.25
0.0292,0.02906591,0.35
0.01024,0.010213883,0.35
0.03741,0.03709631,0.2
0.02002,0.01977229,0.25
0.01296,0.012840156,0.5
0.05185,0.05144177,0.05
0.01551,0.015452724,0.2
0.02595,0.026290998,0.4
0.01897,0.018637832,0.25
0.00737,0.008271201,0.5
0.0149,0.014731346,0.45
0.01244,0.012581747,0.35
0.01572,0.015735239,0.4
0.01047,0.01073542,0.45
0.01492,0.014731346,0.45
0.00966,0.009921585,0.5
0.02181,0.021916762,0.35
0.01561,0.015869804,0.25
0.03739,0.037070967,0.2
0.02124,0.021222325,0.2
0.01978,0.02047435,0.2
0.03417,0.03401803,0.25
0.00753,0.008325487,0.5
0.01742,0.017369047,0.35
0.01653,0.016605066,0.35
0.01956,0.01922109,0.25
0.02535,0.025323171,0.45
0.0397,0.03960319,0.15
0.01363,0.013206081,0.3
0.02093,0.02081505,0.2
0.02561,0.025670547,0.1
0.02975,0.029530188,0.35
0.01138,0.011093729,0.3
0.01151,0.011156692,0.3
0.0302,0.029613135,0.35
0.01675,0.016810397,0.15
0.03206,0.032040168,0.3
0.01805,0.018129647,0.3
0.01959,0.01922109,0.25
0.01562,0.015656026,0.4
0.01408,0.014062575,0.3
0.03095,0.030808654,0.3
0.03389,0.033874318,0.15
0.01451,0.014365467,0.45
0.02779,0.027334547,0.05
0.01011,0.010087984,0.5
0.0158,0.015637482,0.15
0.01515,0.015221784,0.2
0.02059,0.020742085,0.2
0.01601,0.016247852,0.25
0.00948,0.009815562,0.5
0.01224,0.012448516,0.5
0.01972,0.020284345,0.05
0.01362,0.013265185,0.3
0.01454,0.014365467,0.45
0.04072,0.040636636,0.15
0.01104,0.010966761,0.45
0.02979,0.030033665,0.2
0.01295,0.012946258,0.5
